Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Nombre Partido,Nombre Candidato,Total Votos
1,USAQUÉN,65,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
4,COLEGIO AQUILEO PARRA SEDE BACHILLERATO,11,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
6,SAN ANTONIO UNIÓN COLOMBIA,32,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
7,COLEGIO AGUSTIN FERNANDEZ SEDE A,2,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
7,COLEGIO AGUSTIN FERNANDEZ SEDE A,3,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
11,INSTITUTO PEDAGOGICO NACIONAL,4,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
12,CENTRO COMERCIAL UNICENTRO,50,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,2
12,CENTRO COMERCIAL UNICENTRO,65,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
12,CENTRO COMERCIAL UNICENTRO,71,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
13,PLAZA MEXICO,27,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
16,COLEGIO MONTERROSALES,3,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
18,PARQUE CEDRITOS,3,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
22,ALESSANDRO VOLTA,16,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
22,ALESSANDRO VOLTA,20,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
24,COLEGIO DISTRITAL CRISTOBAL COLON,6,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
25,COLEGIO DISTRITAL DIVINO MAESTRO SEDE A,2,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
25,COLEGIO DISTRITAL DIVINO MAESTRO SEDE A,4,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
26,COLEGIO DISTRITAL DIVINO MAESTRO SEDE B,7,1,LOCALIDAD 1 USAQUEN,PARTIDO CONSERVADOR - PARTIDO COLOMBIA JUSTA LIBRES,NICOLAS SANCHEZ SALAZAR,1
